episode_name,date,food,category,flavor,order,first,Rhett,Link,total,quote,author,top_4,place
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,froot loops,1,Rhett,68,52,150,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,raspberry,2,Rhett,77,84,161,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,wildlicious wild! berry,3,Link,81,89,170,,,TRUE,First
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,simply frosted orchard apple cinnamon,4,Rhett,75,50,125,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,strawberry,5,Link,70,67,137,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,simply frosted harvest strawberry,6,Rhett,66,51,117,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,unfrosted blueberry,7,Link,64,30,94,"If I don't like it, it's below a 50.",Rhett,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,crisp apple,8,Rhett,74,75,149,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,unfrosted strawberry,9,Rhett,61,29,90,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,strawberry milkshake,10,Rhett,49,43,92,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,blueberry,11,Rhett,82,59,141,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,cherry,12,Link,62,23,85,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,fruity flavors,"red, white & blueberry",13,Rhett,78,70,148,There's not a lot of dynamic range in pop-tarts.,Rhett,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate chip,14,Link,78,81,159,I take this very seriously. That's why more scores are so consistent.,Rhett,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate chip cookie dough,15,Rhett,58,58,116,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolatey churro,16,Link,51,24,75,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate fudge,17,Rhett,41,65,106,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,chocolate cupcake,18,Link,50,48,98,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,chocolatey flavors,pretzel chocolate,19,Rhett,81,15,96,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,cinnamon roll,20,Rhett,49,68,117,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,confetti cupcake,21,Rhett,38,18,56,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,crisps: strawberrylicious,22,Rhett,86,87,173,,,TRUE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,brown sugar cinnamon,23,Rhett,72,56,128,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,cookies & creme,24,Rhett,49,39,88,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,crisps: blueberrific,25,Rhett,89,88,177,,,TRUE,Second
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,sugar cookie,26,Link,58,40,98,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,pretzel cinnamon sugar,27,Rhett,79,13,92,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,unfrosted brown sugar cinnamon,28,Rhett,61,21,82,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,hot fudge sundae,29,Link,74,69,143,,,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,crisps: appletastic,30,Rhett,78,77,155,The crisps are just delightful.,Link,FALSE,
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,s'mores,31,Rhett,86,89,175,,,TRUE,Third
We Tried EVERY Pop-Tarts Flavor,2020-08-26,pop-tart,specialty flavors,mer-mazing blue raspberry,32,Rhett,81,49,130,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,original glazed,1,Link,85,91,176,,,TRUE,First
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,maple iced glazed,2,Link,71,64,135,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,chocolate iced glazed,3,Rhett,86,89,175,,,TRUE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,chocolate iced glazed w/ sprinkles,4,Rhett,72,43,115,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,strawberry iced,5,Rhett,54,20,74,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,strawberry iced with sprinkles,6,Rhett,31,19,50,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,glazed sour cream,7,Rhett,84,69,153,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,glazed chocolate cake,8,Rhett,94,83,177,,,TRUE,Third
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,glazed and/or iced,apple fritter,9,Rhett,73,73,146,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,original filled chocolate kreme,10,Link,69,58,127,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,new york cheesecake,11,Rhett,76,49,125,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,glazed with kreme filling,12,Rhett,82,57,139,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,chocolate iced with kreme filling,13,Link,79,68,147,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,chocolate iced custard filled,14,Rhett,87,91,178,,,TRUE,Second
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,original filled original kreme,15,Rhett,80,47,127,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,glazed raspberry filled,16,Link,83,68,151,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,glazed lemon filled,17,Link,57,34,91,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,powdered strawberry filled,18,Rhett,63,76,139,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,cake batter filled,19,Rhett,49,40,89,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,chocolate bar,20,Rhett,73,9,82,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,maple bar,21,Rhett,68,14,82,Your scale alarms me sometimes.,"Rhett, to Link",FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,filled,maple bar,22,-,68,65,131,"I'll change my score to the same as the round version, plus one.",Link,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-10,donut,cinnamon and/or sugar,sugar,23,Rhett,46,50,96,,,FALSE,
We Tried EVERY Krispy Kreme Donut Flavor,2020-07-11,donut,cinnamon and/or sugar,cinnamon sugar,24,Link,66,73,139,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,chocolate fudge brownie,1,Rhett,81,72,153,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,chocolate shake it,2,Rhett,82,58,140,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,chocolate therapy,3,Link,72,43,115,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,glampfire trail mix,4,Rhett,77,69,146,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,new york super fudge chunk,5,Rhett,53,29,82,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,phish food,6,Rhett,58,21,79,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,s'mores,7,Rhett,74,71,145,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,the tonight dough,8,Link,76,89,165,,,TRUE,Second
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,chocolate flavors,minter wonderland,9,Rhett,83,19,102,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,vanilla,10,Link,45,50,95,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,vanilla caramel fudge,11,Rhett,61,32,93,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,americone dream,12,Rhett,78,59,137,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,chocolate chip cookie dough,13,Link,61,57,118,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,chubby hubby,14,Rhett,41,34,75,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,ice cream sammie,15,Link,74,3,77,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,milk and cookies,16,Rhett,55,55,110,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,vanilla flavors,salted caramel almond,17,Rhett,68,27,95,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,coffee flavors,brewed to matter,18,Link,78,80,158,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,coffee flavors,chillin' the roast,19,Rhett,28,12,40,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,coffee flavors,"coffee, coffee, buzzbuzzbuzz!",20,Rhett,47,53,100,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,coffee flavors,coffee toffee bar crunch,21,Rhett,82,22,104,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,coffee flavors,cold brew caramel latte,22,Rhett,57,43,100,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,fruit flavors,chunky monkey,23,Rhett,84,33,117,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,fruit flavors,cherry garcia,24,Rhett,85,17,102,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,fruit flavors,pumpkin cheesecake,25,Rhett,78,68,146,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,fruit flavors,"red, white & blueberry",26,Rhett,61,88,149,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,fruit flavors,strawberry cheesecake,27,Link,66,64,130,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,peanut butter flavors,peanut butter world,28,Rhett,90,87,177,,,TRUE,First
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,peanut butter flavors,peanut butter half baked,29,Link,88,89,177,,,TRUE,Third
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,peanut butter flavors,netflix & chilll'd,30,Link,82,80,162,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,peanut butter flavors,peanut butter cup,31,Rhett,78,72,150,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,peanut butter flavors,peanut butter fudge core,32,Rhett,84,87,171,,,TRUE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,"wake & ""no bake"" cookie dough core",33,Rhett,65,66,131,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,caramel chocolate cheesecake,34,link,67,43,110,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,everything but the...,35,Rhett,33,31,64,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,sweet like sugar cookie dough core,36,Rhett,45,32,77,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,cinnamon buns,37,Rhett,52,94,146,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,half baked,38,Rhett,71,82,153,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,oat of this swirled,39,Rhett,49,86,135,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,salted caramel core,40,Link,73,29,102,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,triple caramel chunk,41,Rhett,75,22,97,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,urban bourbon,42,Rhett,17,7,24,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,boom chocolatta! cookie core,43,Link,38,51,89,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,"pistachio, pistachio",44,Rhett,44,22,66,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,mint chocolate cookie,45,Rhett,67,49,116,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,brownie batter core,46,Rhett,79,79,158,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,chocolate chip cookie dough core,47,Link,74,57,131,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,cookies & cream cheesecake core,48,Link,76,51,127,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,karamel sutra core,49,Link,54,19,73,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,cannoli,50,Rhett,28,12,40,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,gimme s'more,51,Link,69,44,113,,,FALSE,
We Tried EVERY Ben & Jerry's Ice Cream Flavor,2020-03-02,ice cream,wild card flavors,justice remix'd,52,Rhett,33,49,82,,,FALSE,